Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)"
Alabama,2019,1,1/5/19,1077.00,993.00,30.00,198.00,22.00,60.00,21.00,63.00,14.00,21.00,27.00,261.00,53.00,0.00,0.00
Alabama,2019,2,1/12/19,1090.00,994.00,25.00,187.00,24.00,49.00,18.00,85.00,21.00,13.00,11.00,275.00,65.00,0.00,0.00
Alabama,2019,3,1/19/19,1114.00,1042.00,22.00,238.00,18.00,48.00,31.00,80.00,30.00,25.00,15.00,283.00,53.00,0.00,0.00
Alabama,2019,4,1/26/19,1063.00,994.00,21.00,165.00,22.00,50.00,22.00,113.00,14.00,25.00,23.00,279.00,56.00,0.00,0.00
Alabama,2019,5,2/2/19,1095.00,1026.00,18.00,199.00,19.00,52.00,19.00,80.00,20.00,24.00,21.00,290.00,50.00,0.00,0.00
Alabama,2019,6,2/9/19,1092.00,1005.00,18.00,182.00,25.00,56.00,28.00,76.00,27.00,22.00,28.00,278.00,59.00,0.00,0.00
Alabama,2019,7,2/16/19,1103.00,1017.00,27.00,214.00,25.00,51.00,27.00,78.00,17.00,22.00,20.00,262.00,56.00,0.00,0.00
Alabama,2019,8,2/23/19,1064.00,992.00,16.00,183.00,22.00,52.00,17.00,70.00,23.00,26.00,20.00,273.00,52.00,0.00,0.00
Alabama,2019,9,3/2/19,1050.00,966.00,25.00,164.00,30.00,52.00,28.00,65.00,11.00,23.00,15.00,283.00,56.00,0.00,0.00
Alabama,2019,10,3/9/19,1062.00,964.00,18.00,189.00,27.00,50.00,19.00,81.00,12.00,19.00,17.00,260.00,63.00,0.00,0.00
Alabama,2019,11,3/16/19,1090.00,1015.00,21.00,216.00,24.00,60.00,26.00,71.00,22.00,25.00,22.00,278.00,57.00,0.00,0.00
Alabama,2019,12,3/23/19,1012.00,938.00,21.00,176.00,23.00,48.00,22.00,70.00,15.00,24.00,22.00,259.00,62.00,0.00,0.00
Alabama,2019,13,3/30/19,1079.00,999.00,23.00,202.00,20.00,52.00,20.00,59.00,12.00,15.00,22.00,281.00,67.00,0.00,0.00
Alabama,2019,14,4/6/19,1044.00,960.00,12.00,202.00,20.00,43.00,18.00,77.00,22.00,15.00,22.00,248.00,64.00,0.00,0.00
Alabama,2019,15,4/13/19,1031.00,932.00,22.00,174.00,29.00,46.00,21.00,74.00,16.00,15.00,26.00,267.00,51.00,0.00,0.00
Alabama,2019,16,4/20/19,954.00,896.00,21.00,163.00,24.00,50.00,19.00,62.00,16.00,20.00,18.00,256.00,59.00,0.00,0.00
Alabama,2019,17,4/27/19,1042.00,982.00,21.00,215.00,28.00,39.00,19.00,77.00,20.00,23.00,18.00,259.00,59.00,0.00,0.00
Alabama,2019,18,5/4/19,1031.00,942.00,14.00,204.00,20.00,47.00,21.00,60.00,16.00,16.00,16.00,257.00,54.00,0.00,0.00
Alabama,2019,19,5/11/19,1009.00,920.00,15.00,217.00,21.00,48.00,18.00,67.00,12.00,19.00,21.00,240.00,55.00,0.00,0.00
Alabama,2019,20,5/18/19,996.00,907.00,17.00,191.00,20.00,51.00,19.00,54.00,22.00,12.00,21.00,250.00,54.00,0.00,0.00
Alabama,2019,21,5/25/19,974.00,917.00,14.00,193.00,27.00,45.00,21.00,79.00,,18.00,20.00,266.00,64.00,0.00,0.00
Alabama,2019,22,6/1/19,1027.00,928.00,21.00,194.00,17.00,56.00,18.00,76.00,,18.00,18.00,255.00,64.00,0.00,0.00
Alabama,2019,23,6/8/19,1029.00,924.00,15.00,222.00,17.00,55.00,11.00,62.00,17.00,16.00,21.00,246.00,57.00,0.00,0.00
Alabama,2019,24,6/15/19,986.00,896.00,23.00,180.00,25.00,43.00,23.00,64.00,17.00,16.00,13.00,238.00,57.00,0.00,0.00
Alabama,2019,25,6/22/19,989.00,904.00,19.00,190.00,20.00,45.00,20.00,52.00,18.00,23.00,14.00,244.00,61.00,0.00,0.00
Alabama,2019,26,6/29/19,940.00,873.00,31.00,185.00,23.00,49.00,17.00,71.00,18.00,13.00,,240.00,44.00,0.00,0.00
Alabama,2019,27,7/6/19,1028.00,926.00,22.00,182.00,22.00,48.00,10.00,53.00,15.00,21.00,21.00,277.00,60.00,0.00,0.00
Alabama,2019,28,7/13/19,1018.00,945.00,19.00,215.00,28.00,58.00,11.00,49.00,17.00,19.00,14.00,256.00,52.00,0.00,0.00
Alabama,2019,29,7/20/19,962.00,871.00,19.00,195.00,29.00,40.00,15.00,68.00,21.00,15.00,15.00,240.00,49.00,0.00,0.00
Alabama,2019,30,7/27/19,980.00,895.00,19.00,186.00,21.00,49.00,12.00,45.00,18.00,22.00,18.00,259.00,60.00,0.00,0.00
Alabama,2019,31,8/3/19,984.00,907.00,12.00,184.00,18.00,67.00,19.00,48.00,13.00,19.00,27.00,262.00,60.00,0.00,0.00
Alabama,2019,32,8/10/19,998.00,924.00,17.00,196.00,27.00,48.00,12.00,59.00,14.00,16.00,25.00,251.00,63.00,0.00,0.00
Alabama,2019,33,8/17/19,977.00,903.00,21.00,188.00,31.00,42.00,15.00,57.00,14.00,18.00,18.00,245.00,54.00,0.00,0.00
Alabama,2019,34,8/24/19,939.00,869.00,17.00,189.00,16.00,52.00,19.00,62.00,14.00,,19.00,245.00,53.00,0.00,0.00
Alabama,2019,35,8/31/19,975.00,894.00,18.00,191.00,20.00,56.00,18.00,69.00,15.00,10.00,20.00,212.00,56.00,0.00,0.00
Alabama,2019,36,9/7/19,1009.00,924.00,13.00,188.00,17.00,46.00,16.00,78.00,23.00,21.00,12.00,249.00,52.00,0.00,0.00
Alabama,2019,37,9/14/19,1000.00,926.00,21.00,201.00,22.00,35.00,21.00,59.00,21.00,11.00,21.00,229.00,69.00,0.00,0.00
Alabama,2019,38,9/21/19,883.00,801.00,19.00,173.00,25.00,53.00,13.00,50.00,14.00,23.00,19.00,213.00,41.00,0.00,0.00
Alabama,2019,39,9/28/19,987.00,905.00,22.00,194.00,13.00,38.00,19.00,57.00,12.00,18.00,16.00,244.00,61.00,0.00,0.00
Alabama,2019,40,10/5/19,958.00,870.00,14.00,189.00,16.00,45.00,10.00,67.00,14.00,25.00,17.00,232.00,59.00,0.00,0.00
Alabama,2019,41,10/12/19,907.00,829.00,16.00,187.00,21.00,44.00,,46.00,28.00,12.00,15.00,209.00,54.00,0.00,0.00
Alabama,2019,42,10/19/19,1009.00,934.00,21.00,192.00,20.00,49.00,16.00,65.00,28.00,18.00,17.00,238.00,86.00,0.00,0.00
Alabama,2019,43,10/26/19,978.00,883.00,21.00,191.00,18.00,42.00,18.00,54.00,16.00,16.00,16.00,270.00,63.00,0.00,0.00
Alabama,2019,44,11/2/19,937.00,859.00,16.00,198.00,17.00,51.00,18.00,53.00,10.00,20.00,17.00,213.00,54.00,0.00,0.00
Alabama,2019,45,11/9/19,1041.00,964.00,16.00,202.00,22.00,54.00,10.00,73.00,17.00,15.00,27.00,280.00,64.00,0.00,0.00
Alabama,2019,46,11/16/19,1070.00,1000.00,20.00,182.00,29.00,61.00,22.00,71.00,12.00,27.00,22.00,303.00,52.00,0.00,0.00
Alabama,2019,47,11/23/19,1043.00,977.00,22.00,194.00,29.00,46.00,19.00,62.00,19.00,16.00,17.00,252.00,65.00,0.00,0.00
Alabama,2019,48,11/30/19,1038.00,949.00,20.00,188.00,23.00,50.00,27.00,59.00,22.00,22.00,19.00,241.00,61.00,0.00,0.00
Alabama,2019,49,12/7/19,1072.00,997.00,29.00,180.00,28.00,62.00,20.00,76.00,18.00,22.00,13.00,266.00,60.00,0.00,0.00
Alabama,2019,50,12/14/19,1081.00,997.00,19.00,202.00,26.00,52.00,25.00,76.00,20.00,25.00,18.00,252.00,66.00,0.00,0.00
Alabama,2019,51,12/21/19,1103.00,1018.00,22.00,204.00,33.00,70.00,19.00,81.00,24.00,20.00,23.00,252.00,68.00,0.00,0.00
Alabama,2019,52,12/28/19,1035.00,949.00,17.00,194.00,33.00,53.00,15.00,55.00,22.00,21.00,20.00,257.00,49.00,0.00,0.00
Alabama,2020,1,1/4/20,1081.00,1008.00,15.00,196.00,25.00,54.00,28.00,86.00,13.00,25.00,25.00,268.00,81.00,0.00,0.00
Alabama,2020,2,1/11/20,1127.00,1060.00,25.00,197.00,17.00,41.00,27.00,72.00,20.00,23.00,34.00,274.00,68.00,0.00,0.00
Alabama,2020,3,1/18/20,1039.00,976.00,28.00,201.00,24.00,53.00,31.00,73.00,21.00,23.00,24.00,239.00,45.00,0.00,0.00
Alabama,2020,4,1/25/20,1054.00,981.00,16.00,189.00,23.00,54.00,29.00,61.00,11.00,14.00,24.00,285.00,70.00,0.00,0.00
Alabama,2020,5,2/1/20,1026.00,951.00,15.00,157.00,16.00,58.00,31.00,76.00,17.00,20.00,24.00,265.00,55.00,0.00,0.00
Alabama,2020,6,2/8/20,1119.00,1028.00,26.00,191.00,24.00,45.00,28.00,70.00,20.00,24.00,29.00,303.00,52.00,0.00,0.00
Alabama,2020,7,2/15/20,1094.00,1019.00,17.00,193.00,24.00,50.00,35.00,74.00,23.00,18.00,27.00,254.00,81.00,0.00,0.00
Alabama,2020,8,2/22/20,1097.00,1017.00,17.00,222.00,29.00,47.00,25.00,65.00,12.00,12.00,15.00,285.00,74.00,0.00,0.00
Alabama,2020,9,2/29/20,1161.00,1091.00,21.00,212.00,28.00,62.00,31.00,88.00,20.00,21.00,24.00,294.00,60.00,0.00,0.00
Alabama,2020,10,3/7/20,1053.00,950.00,18.00,144.00,25.00,65.00,34.00,60.00,24.00,23.00,21.00,265.00,57.00,0.00,0.00
Alabama,2020,11,3/14/20,1091.00,1013.00,16.00,199.00,31.00,65.00,30.00,75.00,28.00,27.00,20.00,265.00,69.00,0.00,0.00
Alabama,2020,12,3/21/20,1057.00,984.00,17.00,227.00,25.00,46.00,26.00,67.00,24.00,22.00,16.00,262.00,71.00,,
Alabama,2020,13,3/28/20,1072.00,989.00,15.00,188.00,23.00,67.00,26.00,75.00,23.00,15.00,23.00,244.00,69.00,23.00,20.00
Alabama,2020,14,4/4/20,1156.00,1077.00,27.00,202.00,34.00,74.00,23.00,67.00,24.00,22.00,26.00,257.00,68.00,49.00,45.00
Alabama,2020,15,4/11/20,1134.00,1053.00,25.00,166.00,31.00,63.00,18.00,62.00,20.00,17.00,28.00,265.00,64.00,81.00,77.00
Alabama,2020,16,4/18/20,1143.00,1049.00,20.00,183.00,35.00,62.00,18.00,69.00,21.00,17.00,18.00,248.00,62.00,89.00,83.00
Alabama,2020,17,4/25/20,1137.00,1038.00,20.00,200.00,28.00,55.00,25.00,53.00,12.00,17.00,14.00,265.00,63.00,83.00,77.00
Alabama,2020,18,5/2/20,1147.00,1049.00,17.00,197.00,22.00,57.00,26.00,67.00,19.00,24.00,11.00,272.00,62.00,81.00,75.00
Alabama,2020,19,5/9/20,1168.00,1081.00,17.00,201.00,28.00,45.00,12.00,58.00,18.00,15.00,22.00,304.00,52.00,116.00,105.00
Alabama,2020,20,5/16/20,1146.00,1048.00,19.00,203.00,28.00,47.00,15.00,70.00,17.00,22.00,23.00,259.00,49.00,94.00,88.00
Alabama,2020,21,5/23/20,1151.00,1054.00,22.00,194.00,22.00,62.00,18.00,53.00,16.00,21.00,25.00,280.00,54.00,79.00,76.00
Alabama,2020,22,5/30/20,1105.00,998.00,23.00,161.00,29.00,53.00,21.00,51.00,14.00,15.00,24.00,242.00,47.00,103.00,99.00
Alabama,2020,23,6/6/20,1169.00,1068.00,26.00,212.00,20.00,48.00,17.00,62.00,19.00,15.00,16.00,290.00,55.00,90.00,85.00
Alabama,2020,24,6/13/20,1134.00,1030.00,14.00,176.00,23.00,53.00,11.00,65.00,17.00,24.00,20.00,279.00,58.00,81.00,75.00
Alabama,2020,25,6/20/20,1087.00,1008.00,29.00,197.00,22.00,48.00,12.00,62.00,16.00,17.00,29.00,255.00,54.00,88.00,81.00
Alabama,2020,26,6/27/20,1148.00,1065.00,12.00,222.00,23.00,60.00,16.00,55.00,15.00,17.00,22.00,266.00,67.00,102.00,93.00
Alabama,2020,27,7/4/20,1196.00,1106.00,14.00,220.00,30.00,59.00,13.00,60.00,,18.00,25.00,297.00,49.00,120.00,115.00
Alabama,2020,28,7/11/20,1256.00,1170.00,17.00,217.00,30.00,63.00,12.00,63.00,14.00,19.00,26.00,300.00,72.00,134.00,121.00
Alabama,2020,29,7/18/20,1288.00,1203.00,23.00,203.00,24.00,68.00,22.00,71.00,17.00,19.00,27.00,275.00,66.00,191.00,171.00
Alabama,2020,30,7/25/20,1326.00,1251.00,21.00,212.00,28.00,66.00,15.00,69.00,10.00,20.00,25.00,285.00,78.00,247.00,235.00
Alabama,2020,31,8/1/20,1358.00,1267.00,15.00,198.00,23.00,56.00,25.00,74.00,21.00,20.00,18.00,312.00,70.00,261.00,236.00
Alabama,2020,32,8/8/20,1368.00,1280.00,15.00,177.00,29.00,40.00,20.00,75.00,14.00,17.00,31.00,288.00,70.00,261.00,250.00
Alabama,2020,33,8/15/20,1299.00,1205.00,,165.00,26.00,61.00,20.00,67.00,21.00,15.00,29.00,291.00,73.00,229.00,214.00
Alabama,2020,34,8/22/20,1291.00,1214.00,16.00,193.00,22.00,55.00,17.00,58.00,13.00,21.00,30.00,288.00,76.00,207.00,195.00
Alabama,2020,35,8/29/20,1213.00,1128.00,19.00,192.00,23.00,55.00,17.00,62.00,18.00,20.00,27.00,249.00,56.00,183.00,173.00
Alabama,2020,36,9/5/20,1206.00,1125.00,22.00,211.00,22.00,61.00,14.00,65.00,11.00,15.00,15.00,255.00,60.00,153.00,140.00
Alabama,2020,37,9/12/20,1230.00,1151.00,17.00,198.00,27.00,66.00,13.00,59.00,18.00,23.00,28.00,295.00,49.00,137.00,129.00
Alabama,2020,38,9/19/20,1185.00,1121.00,18.00,225.00,20.00,57.00,16.00,68.00,23.00,20.00,16.00,251.00,61.00,137.00,133.00
Alabama,2020,39,9/26/20,1177.00,1108.00,21.00,204.00,32.00,66.00,21.00,61.00,13.00,15.00,32.00,260.00,58.00,104.00,99.00
Alabama,2020,40,10/3/20,1088.00,1002.00,14.00,181.00,27.00,47.00,20.00,55.00,11.00,20.00,13.00,257.00,46.00,107.00,97.00
Alabama,2020,41,10/10/20,1185.00,1115.00,15.00,188.00,27.00,58.00,18.00,60.00,21.00,21.00,32.00,297.00,62.00,133.00,125.00
Alabama,2020,42,10/17/20,1173.00,1107.00,20.00,195.00,26.00,59.00,12.00,58.00,19.00,21.00,28.00,255.00,69.00,125.00,111.00
Alabama,2020,43,10/24/20,1123.00,1048.00,17.00,199.00,15.00,56.00,20.00,54.00,15.00,18.00,24.00,271.00,46.00,116.00,110.00
Alabama,2020,44,10/31/20,1142.00,1080.00,21.00,186.00,21.00,62.00,23.00,46.00,21.00,12.00,33.00,269.00,59.00,129.00,117.00
Alabama,2020,45,11/7/20,1233.00,1153.00,14.00,212.00,26.00,54.00,14.00,53.00,18.00,22.00,35.00,278.00,64.00,146.00,137.00
Alabama,2020,46,11/14/20,1232.00,1166.00,17.00,205.00,24.00,62.00,13.00,60.00,19.00,22.00,35.00,280.00,58.00,168.00,158.00
Alabama,2020,47,11/21/20,1216.00,1137.00,10.00,190.00,26.00,69.00,18.00,56.00,13.00,27.00,37.00,252.00,58.00,155.00,143.00
Alabama,2020,48,11/28/20,1237.00,1169.00,24.00,198.00,19.00,56.00,15.00,60.00,14.00,27.00,36.00,269.00,51.00,188.00,172.00
Alabama,2020,49,12/5/20,1212.00,1154.00,27.00,160.00,25.00,60.00,14.00,65.00,28.00,13.00,36.00,266.00,61.00,219.00,211.00
Alabama,2020,50,12/12/20,1359.00,1306.00,17.00,203.00,39.00,76.00,21.00,53.00,20.00,20.00,26.00,259.00,65.00,302.00,288.00
Alabama,2020,51,12/19/20,1099.00,1065.00,10.00,152.00,14.00,56.00,24.00,59.00,12.00,20.00,34.00,224.00,55.00,223.00,215.00
Alabama,2020,52,12/26/20,810.00,788.00,14.00,112.00,28.00,51.00,12.00,47.00,15.00,15.00,22.00,193.00,40.00,106.00,106.00
Alabama,2020,53,1/2/21,668.00,641.00,11.00,83.00,13.00,43.00,,42.00,11.00,12.00,18.00,145.00,45.00,84.00,83.00
Alaska,2019,1,1/5/19,93.00,82.00,,19.00,,,0.00,,,,0.00,22.00,,0.00,0.00
Alaska,2019,2,1/12/19,87.00,72.00,,14.00,,,,,,0.00,,13.00,,0.00,0.00
Alaska,2019,3,1/19/19,94.00,78.00,,16.00,,,,,,0.00,,18.00,,0.00,0.00
Alaska,2019,4,1/26/19,88.00,75.00,0.00,27.00,,,0.00,,0.00,0.00,0.00,17.00,,0.00,0.00
Alaska,2019,5,2/2/19,99.00,73.00,,21.00,,,,,,0.00,,15.00,,0.00,0.00
Alaska,2019,6,2/9/19,96.00,88.00,,30.00,,,,,0.00,,,13.00,,0.00,0.00
Alaska,2019,7,2/16/19,99.00,80.00,0.00,17.00,,,,,,,,18.00,,0.00,0.00
Alaska,2019,8,2/23/19,76.00,61.00,,19.00,,,,,0.00,,0.00,12.00,,0.00,0.00
Alaska,2019,9,3/2/19,94.00,77.00,,20.00,,0.00,,,,0.00,,18.00,,0.00,0.00
Alaska,2019,10,3/9/19,94.00,78.00,,25.00,,,,10.00,,,0.00,12.00,,0.00,0.00
Alaska,2019,11,3/16/19,100.00,81.00,,20.00,,,,,,0.00,,17.00,,0.00,0.00
Alaska,2019,12,3/23/19,71.00,63.00,,14.00,,,,,,,,10.00,,0.00,0.00
Alaska,2019,13,3/30/19,90.00,71.00,,24.00,,,,,,,0.00,15.00,,0.00,0.00
Alaska,2019,14,4/6/19,90.00,61.00,0.00,15.00,,,0.00,,,,0.00,14.00,,0.00,0.00
Alaska,2019,15,4/13/19,81.00,72.00,,13.00,,,0.00,,0.00,,,13.00,,0.00,0.00
Alaska,2019,16,4/20/19,78.00,64.00,0.00,18.00,,,,,0.00,,0.00,13.00,,0.00,0.00
Alaska,2019,17,4/27/19,79.00,67.00,,15.00,,,,,0.00,,,,,0.00,0.00
Alaska,2019,18,5/4/19,100.00,82.00,,20.00,,,0.00,,0.00,,,14.00,,0.00,0.00
Alaska,2019,19,5/11/19,86.00,73.00,0.00,26.00,,,0.00,,,0.00,,14.00,,0.00,0.00
Alaska,2019,20,5/18/19,91.00,73.00,0.00,17.00,,,0.00,,0.00,,0.00,23.00,,0.00,0.00
Alaska,2019,21,5/25/19,82.00,63.00,,24.00,,,,,0.00,,,,,0.00,0.00
Alaska,2019,22,6/1/19,77.00,64.00,0.00,14.00,,,,,0.00,0.00,0.00,17.00,,0.00,0.00
Alaska,2019,23,6/8/19,93.00,70.00,,18.00,,,0.00,,,,,12.00,,0.00,0.00
Alaska,2019,24,6/15/19,75.00,63.00,0.00,12.00,,,0.00,,,,,16.00,,0.00,0.00
Alaska,2019,25,6/22/19,97.00,83.00,,27.00,,,0.00,,0.00,,,16.00,,0.00,0.00
Alaska,2019,26,6/29/19,87.00,73.00,,13.00,,,0.00,,0.00,,,25.00,,0.00,0.00
Alaska,2019,27,7/6/19,81.00,71.00,,15.00,,,,,0.00,,,15.00,,0.00,0.00
Alaska,2019,28,7/13/19,91.00,71.00,,13.00,,,,,,0.00,0.00,21.00,,0.00,0.00
Alaska,2019,29,7/20/19,74.00,60.00,,13.00,,,0.00,,0.00,,,16.00,,0.00,0.00
Alaska,2019,30,7/27/19,59.00,46.00,0.00,19.00,0.00,,,0.00,,0.00,0.00,12.00,,0.00,0.00
Alaska,2019,31,8/3/19,74.00,58.00,0.00,14.00,,,0.00,,0.00,,0.00,16.00,,0.00,0.00
Alaska,2019,32,8/10/19,86.00,71.00,0.00,20.00,0.00,,0.00,,,0.00,,,,0.00,0.00
Alaska,2019,33,8/17/19,94.00,79.00,,25.00,,0.00,0.00,,,0.00,,26.00,,0.00,0.00
Alaska,2019,34,8/24/19,73.00,63.00,,14.00,,,,,,,0.00,16.00,,0.00,0.00
Alaska,2019,35,8/31/19,82.00,65.00,0.00,16.00,0.00,,0.00,,,,,15.00,,0.00,0.00
Alaska,2019,36,9/7/19,71.00,63.00,,15.00,,,0.00,,,,0.00,11.00,,0.00,0.00
Alaska,2019,37,9/14/19,91.00,72.00,0.00,17.00,,,,,,,0.00,20.00,,0.00,0.00
Alaska,2019,38,9/21/19,94.00,81.00,0.00,21.00,,,0.00,,0.00,,0.00,23.00,,0.00,0.00
Alaska,2019,39,9/28/19,82.00,68.00,,13.00,,0.00,,,0.00,,,21.00,,0.00,0.00
Alaska,2019,40,10/5/19,93.00,77.00,,20.00,,,0.00,,0.00,,0.00,18.00,,0.00,0.00
Alaska,2019,41,10/12/19,91.00,75.00,0.00,20.00,,,0.00,,0.00,0.00,,16.00,,0.00,0.00
Alaska,2019,42,10/19/19,94.00,74.00,0.00,14.00,,,0.00,,,,,16.00,,0.00,0.00
Alaska,2019,43,10/26/19,67.00,54.00,0.00,12.00,,,,,,,0.00,10.00,,0.00,0.00
Alaska,2019,44,11/2/19,81.00,62.00,,16.00,,,,,,0.00,0.00,12.00,,0.00,0.00
Alaska,2019,45,11/9/19,89.00,70.00,,21.00,,,0.00,,0.00,0.00,,16.00,,0.00,0.00
Alaska,2019,46,11/16/19,90.00,72.00,,16.00,,,0.00,,,0.00,,22.00,,0.00,0.00
Alaska,2019,47,11/23/19,92.00,82.00,,28.00,,,0.00,,0.00,,0.00,13.00,,0.00,0.00
Alaska,2019,48,11/30/19,103.00,89.00,,27.00,,,,,,,,19.00,,0.00,0.00
Alaska,2019,49,12/7/19,93.00,78.00,,23.00,,,0.00,,,,0.00,16.00,,0.00,0.00
Alaska,2019,50,12/14/19,94.00,80.00,,16.00,,,0.00,,,,,17.00,,0.00,0.00
Alaska,2019,51,12/21/19,84.00,69.00,0.00,20.00,,,0.00,,,,,21.00,,0.00,0.00
Alaska,2019,52,12/28/19,100.00,89.00,,23.00,,,,,,,0.00,25.00,,0.00,0.00
Alaska,2020,1,1/4/20,89.00,71.00,,16.00,,,0.00,,0.00,,0.00,17.00,,0.00,0.00
Alaska,2020,2,1/11/20,105.00,93.00,,22.00,,,0.00,,,,0.00,24.00,,0.00,0.00
Alaska,2020,3,1/18/20,99.00,83.00,,21.00,,,0.00,,,,0.00,15.00,,0.00,0.00
Alaska,2020,4,1/25/20,97.00,82.00,,21.00,,,0.00,,0.00,,,18.00,,0.00,0.00
Alaska,2020,5,2/1/20,85.00,74.00,,17.00,,,,,,0.00,,20.00,,0.00,0.00
Alaska,2020,6,2/8/20,92.00,75.00,0.00,15.00,,,,,,,,22.00,,0.00,0.00
Alaska,2020,7,2/15/20,89.00,74.00,,20.00,,,0.00,,,,0.00,19.00,,0.00,0.00
Alaska,2020,8,2/22/20,83.00,64.00,,16.00,,,,,,0.00,,,,0.00,0.00
Alaska,2020,9,2/29/20,84.00,76.00,,18.00,,0.00,,,,,,14.00,,0.00,0.00
Alaska,2020,10,3/7/20,79.00,68.00,,20.00,0.00,,,,,,0.00,15.00,,0.00,0.00
Alaska,2020,11,3/14/20,92.00,80.00,,20.00,,0.00,,,,0.00,,22.00,,0.00,0.00
Alaska,2020,12,3/21/20,69.00,56.00,0.00,,,,,,,,,10.00,,0.00,0.00
Alaska,2020,13,3/28/20,85.00,74.00,,16.00,,,,,,,0.00,15.00,,,
Alaska,2020,14,4/4/20,98.00,84.00,,21.00,,,,,,0.00,0.00,14.00,,,
Alaska,2020,15,4/11/20,84.00,71.00,,15.00,,,,,,,,20.00,,,
Alaska,2020,16,4/18/20,80.00,71.00,0.00,17.00,,,,,0.00,,0.00,13.00,,,
Alaska,2020,17,4/25/20,61.00,55.00,,12.00,0.00,,,,,,0.00,12.00,0.00,0.00,0.00
Alaska,2020,18,5/2/20,87.00,78.00,,17.00,,,,,,0.00,,18.00,,0.00,0.00
Alaska,2020,19,5/9/20,89.00,77.00,,20.00,,,,,,0.00,0.00,13.00,,,0.00
Alaska,2020,20,5/16/20,83.00,68.00,0.00,18.00,,0.00,,,0.00,,,20.00,,0.00,0.00
Alaska,2020,21,5/23/20,82.00,68.00,0.00,19.00,,,0.00,,0.00,0.00,0.00,17.00,,0.00,0.00
Alaska,2020,22,5/30/20,97.00,82.00,,23.00,,,0.00,,0.00,,,18.00,,0.00,0.00
Alaska,2020,23,6/6/20,78.00,65.00,0.00,15.00,,,,,,0.00,,19.00,,0.00,0.00
Alaska,2020,24,6/13/20,88.00,70.00,,19.00,,,,,,0.00,0.00,16.00,,,
Alaska,2020,25,6/20/20,92.00,74.00,0.00,28.00,0.00,,,,0.00,,,15.00,,0.00,0.00
Alaska,2020,26,6/27/20,88.00,65.00,0.00,16.00,,,,,,0.00,,14.00,,0.00,0.00
Alaska,2020,27,7/4/20,84.00,64.00,,16.00,,,0.00,,0.00,,,17.00,,,
Alaska,2020,28,7/11/20,100.00,82.00,,20.00,,,0.00,,0.00,,,18.00,,,
Alaska,2020,29,7/18/20,88.00,71.00,0.00,20.00,,,0.00,,0.00,,,12.00,,,
Alaska,2020,30,7/25/20,92.00,75.00,0.00,20.00,,,,,0.00,,,18.00,,,
Alaska,2020,31,8/1/20,112.00,81.00,0.00,17.00,,,0.00,,,,,17.00,,,
Alaska,2020,32,8/8/20,101.00,86.00,,15.00,,,0.00,,0.00,,,20.00,,,
Alaska,2020,33,8/15/20,74.00,66.00,0.00,15.00,,,0.00,,0.00,,,17.00,,,
Alaska,2020,34,8/22/20,114.00,100.00,,24.00,,,,,0.00,0.00,,28.00,,,
Alaska,2020,35,8/29/20,93.00,75.00,,23.00,,,0.00,,0.00,0.00,,11.00,,,
Alaska,2020,36,9/5/20,104.00,89.00,,20.00,,,,,,0.00,0.00,18.00,,,
Alaska,2020,37,9/12/20,87.00,72.00,,22.00,,,0.00,,0.00,,,12.00,,,
Alaska,2020,38,9/19/20,103.00,79.00,,16.00,,,0.00,,,,,10.00,11.00,,
Alaska,2020,39,9/26/20,111.00,95.00,,18.00,,,0.00,,,,,18.00,,,
Alaska,2020,40,10/3/20,73.00,59.00,0.00,,,,0.00,,,0.00,,18.00,,,
Alaska,2020,41,10/10/20,110.00,93.00,,20.00,,,,,,,,25.00,,,
Alaska,2020,42,10/17/20,98.00,90.00,,25.00,,,0.00,,,,0.00,14.00,,10.00,
Alaska,2020,43,10/24/20,99.00,86.00,0.00,17.00,,,,,0.00,,,27.00,,,
Alaska,2020,44,10/31/20,103.00,91.00,0.00,30.00,,,,,0.00,,,11.00,,10.00,
Alaska,2020,45,11/7/20,97.00,82.00,0.00,21.00,,,0.00,,0.00,,0.00,18.00,,,
Alaska,2020,46,11/14/20,88.00,82.00,0.00,19.00,,,,,0.00,,,15.00,,13.00,12.00
Alaska,2020,47,11/21/20,98.00,95.00,0.00,21.00,,,0.00,,0.00,,,13.00,,14.00,12.00
Alaska,2020,48,11/28/20,92.00,89.00,,18.00,,,0.00,,0.00,0.00,,14.00,,18.00,15.00
Alaska,2020,49,12/5/20,75.00,69.00,,13.00,,,,,0.00,,0.00,,,19.00,17.00
Alaska,2020,50,12/12/20,76.00,74.00,0.00,18.00,0.00,,,,0.00,0.00,,13.00,,11.00,11.00
Alaska,2020,51,12/19/20,38.00,38.00,,14.00,,,0.00,0.00,0.00,0.00,0.00,,,,
