"region","excess.lwr","excess","excess.upr","population"
"Alabama",-23.7062835766767,12.574178905389,42.5467575543227,4728915
"Arizona",-13.9183732933733,11.2266221762627,32.9337447590289,8456448
"Arkansas",-24.9336730475825,24.4544639751404,65.8139172392564,3060219
"California",3.18195602062922,13.2504057555831,22.6837569532432,42206743
"Colorado",-20.4968225189231,7.98078334142299,30.9924459168985,5278867
"Connecticut",-20.8942635996354,10.9150925127484,35.7759851998966,3675650
"Florida",7.00232093401306,21.2831810600857,34.4605831066337,23406525
"Georgia",-8.05117932878035,11.6388243563953,29.0858709157245,10843753
"Illinois",-1.11073589227543,15.4186588993345,30.1288763379447,13236720
"Indiana",-2.91307932629626,25.4166518104721,50.0538855543859,6627008
"Iowa",-38.6368662630243,7.33706186863576,44.7939676132662,3020496
"Kansas",-39.6825396825397,8.05983335784892,46.669060661476,2890566
"Kentucky",-31.6876904623442,7.3823872024902,40.7289660523579,4424431
"Louisiana",-28.6285059205452,12.7327396175644,47.0210800227159,4719160
"Maryland",-13.7746463092828,12.5523609448155,34.7673134772608,6497626
"Massachusetts",-26.3155553182781,-0.00495052500615007,22.1864166617801,6855546
"Michigan",-21.3636078482849,2.79157655973119,23.981410608627,10695993
"Minnesota",-25.200952621599,3.80170635958468,28.3018196441854,5900769
"Mississippi",-17.1463788240456,31.9201964019217,72.3533998158179,3044812
"Missouri",-12.7905660139983,14.8489660841854,38.4854098836075,6199882
"New Jersey",-9.51289074245623,10.4605704820386,27.7869522550806,9461635
"New York",-18.9969872686817,-2.56365043813324,12.3470648089689,19576920
"Ohio",-19.5468796187721,4.77424894389922,26.8722897120574,11644058
"Oklahoma",11.000645128477,45.2890215736627,74.3102345216011,3735690
"Oregon",-26.9241593439854,10.4017880554415,41.4521618076079,4260393
"Pennsylvania",-13.2636900487779,7.87379824711429,26.995616137631,12787354
"South Carolina",-27.2058901288668,10.0513738561943,42.0107340950699,4822577
"Tennessee",-38.0205790873173,-2.02357195667821,29.5693493415842,6780670
"Texas",-18.5547207854361,-3.61976590803778,10.1380672030379,28634896
"United States",5.60016632174846,9.46928672500632,13.2528898998706,334503458
"Virginia",-24.0316818981328,1.94119462194229,24.7720887097633,8917395
"Washington",-17.4250040634348,8.90367981370735,31.6328979986373,7432136
"Wisconsin",-31.6588603343173,-0.838983445053033,25.1138476664434,6004954
