"region","excess.lwr","excess","excess.upr","population"
"Alabama",-38.4031009227275,12.8278417292657,58.4087470381684,4728915
"Arizona",-17.7982528834801,11.2545987491954,36.9422244422244,8456448
"Arkansas",-30.3581214285644,24.6705657757909,71.7268927485255,3060219
"California",-1.47156581117856,11.7083837708156,24.1502880238828,42206743
"Colorado",-17.3720989750263,17.8670402364044,48.6093890980773,5278867
"Connecticut",-42.49724538517,3.49934610257429,42.7414198849183,3675650
"Florida",-23.9087177613934,0.0700766559633506,22.9511856202491,23406525
"Georgia",-10.5687578829949,16.0148233795899,40.0693837272022,10843753
"Illinois",-22.9968224756586,3.59580838063202,27.9002275488187,13236720
"Indiana",-64.1469725100679,-21.6537485732413,16.5093357364289,6627008
"Iowa",-43.239587140655,8.8055179827959,52.7727896345501,3020496
"Kansas",-37.1233523123153,14.7055922069343,57.9479935763446,2890566
"Kentucky",-54.3578371998569,-5.20140185268921,38.0851232621777,4424431
"Louisiana",-12.1218606701192,31.3546295197793,69.2284220073064,4719160
"Maryland",-46.540459546302,-5.95596172482601,29.9651749731363,6497626
"Massachusetts",-49.4497447759814,-15.5675310755118,14.3394851409355,6855546
"Michigan",-20.68157673626,9.32665216806074,36.667937235935,10695993
"Minnesota",-50.1299067968937,-11.1349762131108,23.0317438286434,5900769
"Mississippi",-55.7349682016492,7.38280067840615,61.2188864205738,3044812
"Missouri",-27.4533450797934,11.1060857319404,45.8081298966658,6199882
"Nevada",-62.0183803008038,-7.62806323238401,37.9459042031027,3452283
"New Jersey",-23.8550208288525,3.67173592450535,28.3146094728871,9461635
"New York",-15.6667902816173,1.80249875977498,18.0369281786921,19576920
"Ohio",-20.5600573270934,9.65701988893471,37.7445732407035,11644058
"Oklahoma",-21.3628539841368,23.4026264044036,62.1049926519599,3735690
"Oregon",-33.7539283347804,14.4759547885747,56.5446661845515,4260393
"Pennsylvania",-31.5397540413756,-3.19900557117575,22.9760199021627,12787354
"South Carolina",-18.1044284000027,26.4152362745183,66.0020565768053,4822577
"Tennessee",-16.5337643625187,21.3178113125053,55.6585853610336,6780670
"Texas",3.07299876346679,18.098200052984,32.3141561261476,28634896
"United States",2.68086167288591,7.679955105041,12.6014392353457,334503458
"Virginia",-31.3210864832162,0.208557762978137,28.6086912153157,8917395
"Washington",-19.2955968512955,11.9756325226431,39.7876868776352,7432136
"Wisconsin",-23.3324018801809,12.5216464356935,44.0802710561979,6004954
