"region","excess.lwr","excess","excess.upr","population"
"Alabama",-15.0795689920415,89.0712193488915,187.7613575207,4728915
"Arizona",0.140721021402857,58.5340482056953,113.595270733055,8456448
"Arkansas",-117.509563858011,10.1818001626042,129.077363417455,3060219
"California",16.3429454862224,40.9559153338903,64.9736820488612,42206743
"Colorado",-88.8656599986323,-11.3359633788723,61.0936020930249,5278867
"Connecticut",-121.560132221512,-22.3365928403732,69.2945465427884,3675650
"Florida",-38.635166903246,2.47680730113873,42.3993950404855,23406525
"Georgia",-34.8041402270966,21.9088643155266,76.6906992440717,10843753
"Illinois",-49.8469409340078,1.9929851132,51.7352486114385,13236720
"Indiana",-85.6959128463403,-5.80445690816522,70.6069013346596,6627008
"Iowa",-143.752880321643,-17.3207028600673,99.3876502402254,3020496
"Kansas",-130.703640740256,-11.5046907961129,98.3207095081032,2890566
"Kentucky",-63.5584553132369,37.1270231774868,131.973467322691,4424431
"Louisiana",-63.2549012959933,38.5098216250812,133.734605311115,4719160
"Maryland",-70.0113395261592,2.72044430878799,71.6415503139146,6497626
"Massachusetts",-43.3820296734935,22.8094720895979,85.5807108580411,6855546
"Michigan",-57.8648938906373,6.46068034100405,68.7374234444619,10695993
"Minnesota",-82.2795300070211,-12.7823839400648,52.4202862372684,5900769
"Mississippi",-62.6680727742796,64.6942373778921,183.86028431312,3044812
"Missouri",-55.3244400457944,29.630565552368,110.166209614957,6199882
"Nevada",-87.3088909570854,20.2949134059726,119.400698030839,3452283
"New Jersey",-34.2337767204083,25.3576231979007,82.2511119906866,9461635
"New York",-20.0037850693572,24.0970982572553,66.6356096873257,19576920
"Ohio",-68.826520788543,-4.94626509945662,56.0560588069898,11644058
"Oklahoma",-30.2768698687525,87.3255161685716,198.705593879578,3735690
"Oregon",-49.6726475703062,35.1813921939357,114.404351898991,4260393
"Pennsylvania",-58.2073116924737,1.253310851408,58.8810241743522,12787354
"South Carolina",-48.1708223632303,44.0050213258942,131.237925283515,4822577
"Tennessee",-86.7193064992102,0.309100251574368,83.9762147398413,6780670
"Texas",1.61219373731969,34.132210276709,65.4906342247585,28634896
"United States",3.27360591889607,22.5371244923973,41.3404620169876,334503458
"Virginia",-28.4732817151197,30.3815528331855,86.3492084852135,8917395
"Washington",-54.4029334231773,9.65001602761765,70.0760857982147,7432136
"Wisconsin",-48.2114434182177,29.8444821577202,103.16482024675,6004954
