"region","excess.lwr","excess","excess.upr","population"
"Alabama",14.0830401899802,66.581064122967,114.86778679676,4728915
"Arizona",-4.11608987603304,37.6756033565888,76.6997562096994,8456448
"Arkansas",2.05622538779091,66.1639201852362,123.554065901819,3060219
"California",12.1634000519775,26.9590702506323,41.097994697198,42206743
"Colorado",-15.4962229584492,40.8900761426269,93.3732560414953,5278867
"Connecticut",-54.0319399289921,9.40622806827692,66.9024526274264,3675650
"Florida",31.0505297134026,54.3339988253147,76.8379757353986,23406525
"Georgia",16.4509464573751,48.15631189526,78.0002089682419,10843753
"Illinois",17.4807278540303,44.8005567829243,70.6753636852634,13236720
"Indiana",26.8133824495157,71.1559534062857,112.600211136006,6627008
"Iowa",-60.788857194315,7.54014736018307,68.8645176156499,3020496
"Kansas",-18.6840570324289,48.2596953629176,107.834417204105,2890566
"Kentucky",47.7332565475651,103.835001136774,155.952821956089,4424431
"Louisiana",27.6315064545385,86.61359584528,141.234880783868,4719160
"Maryland",23.6070835717538,63.9173028325734,101.498993632444,6497626
"Massachusetts",-11.7149677064379,28.7203990282002,66.3853032274891,6855546
"Michigan",7.55352962553361,39.8845378346487,70.4939223501736,10695993
"Minnesota",-6.13564096476238,38.1831880849593,79.0070751795232,5900769
"Mississippi",-52.8111423628125,24.9726479610262,94.3613267420123,3044812
"Missouri",-5.1779211281763,45.7695301110592,93.3255665188467,6199882
"Nevada",33.687852357411,87.6415424791569,136.027376666397,3452283
"New Jersey",-18.4016821616983,13.8828605541447,43.6293515866972,9461635
"New York",30.1730302825981,49.8754918256508,68.4636551612817,19576920
"Ohio",45.3016465565527,78.1550657791538,109.326361995105,11644058
"Oklahoma",-14.7763866916152,49.9139170347679,108.764378200547,3735690
"Oregon",-10.680352728023,46.4864728249498,98.5366842918013,4260393
"Pennsylvania",45.130134037112,75.4480482870457,104.619180793775,12787354
"South Carolina",-0.499732819196014,60.6784660211895,116.930222161305,4822577
"Tennessee",1.79886353413454,56.6526597593986,108.264006359254,6780670
"Texas",4.05056473751468,23.9534540408148,43.1716252784714,28634896
"United States",36.1022949424935,45.2631305200788,54.1506135939557,334503458
"Virginia",7.26557475585641,41.1549481063224,72.8135851333265,8917395
"Washington",12.0422984724714,52.1041809235528,88.9925857115639,7432136
"Wisconsin",-10.8252286362227,38.6680878728012,84.2487719306426,6004954
