region,age,population
Georgia,85+ years,155247
Hawaii,0-4 years,97979
Hawaii,5-9 years,95455
Hawaii,10-14 years,89768
Hawaii,15-19 years,94011
Hawaii,20-24 years,86783
Hawaii,25-29 years,96449
Hawaii,30-34 years,100167
Hawaii,35-39 years,84200
Hawaii,40-44 years,73892
Hawaii,45-49 years,72915
Hawaii,50-54 years,77367
Hawaii,55-59 years,88541
Hawaii,60-64 years ,90319
Hawaii,65-69 years,83089
Hawaii,70-74 years,69946
Hawaii,75-79 years,47664
Hawaii,80-84 years,29380
Hawaii,85+ years,34448
Idaho,0-4 years,121257
Idaho,5-9 years,128956
Idaho,10-14 years,128793
Idaho,15-19 years,112483
Idaho,20-24 years,99139
Idaho,25-29 years,102586
Idaho,30-34 years,113771
Idaho,35-39 years,132447
Idaho,40-44 years,121347
Idaho,45-49 years,104888
Idaho,50-54 years,97926
Idaho,55-59 years,103706
Idaho,60-64 years ,104595
Idaho,65-69 years,91411
Idaho,70-74 years,69882
Idaho,75-79 years,46344
Idaho,80-84 years,29568
Idaho,85+ years,32234
Illinois,0-4 years,938241
Illinois,5-9 years,919830
Illinois,10-14 years,884461
Illinois,15-19 years,854267
Illinois,20-24 years,843858
Illinois,25-29 years,920013
Illinois,30-34 years,908780
Illinois,35-39 years,902643
Illinois,40-44 years,838100
Illinois,45-49 years,824700
Illinois,50-54 years,819364
Illinois,55-59 years,830201
Illinois,60-64 years ,763498
Illinois,65-69 years,623594
Illinois,70-74 years,500478
Illinois,75-79 years,342752
Illinois,80-84 years,233527
Illinois,85+ years,288413
Indiana,0-4 years,455215
Indiana,5-9 years,452696
Indiana,10-14 years,454603
Indiana,15-19 years,456247
Indiana,20-24 years,433941
Indiana,25-29 years,431814
Indiana,30-34 years,425072
Indiana,35-39 years,434165
Indiana,40-44 years,435271
Indiana,45-49 years,410876
Indiana,50-54 years,403122
Indiana,55-59 years,420579
Indiana,60-64 years ,393700
Indiana,65-69 years,326381
Indiana,70-74 years,260093
Indiana,75-79 years,176946
Indiana,80-84 years,117686
Indiana,85+ years,138601
Iowa,0-4 years,185929
Iowa,5-9 years,193484
Iowa,10-14 years,199924
Iowa,15-19 years,194504
Iowa,20-24 years,178436
Iowa,25-29 years,175467
Iowa,30-34 years,179141
Iowa,35-39 years,199755
Iowa,40-44 years,201314
Iowa,45-49 years,179133
Iowa,50-54 years,181245
Iowa,55-59 years,198798
Iowa,60-64 years ,196826
Iowa,65-69 years,172174
Iowa,70-74 years,135510
Iowa,75-79 years,91636
Iowa,80-84 years,65912
